sighting_date,location
2022-04-07,Carnsore Point
2022-04-04,Grangecastle Business Park
2022-03-26,Grangecastle Business Park
2022-03-20,Grangecastle Business Park
2022-03-19,Balbriggan
2022-03-12,Enniskillen
2022-03-05,Grangecastle Business Park
2022-02-18,Grangecastle Business Park
2022-02-15,Killybegs
2022-02-13,Rosslare back Strand
2022-02-08,Rosslare back Strand
2022-02-06,Enniskillen
2022-02-06,Dunworley
2022-02-05,Grangecastle Business Park
2022-02-05,Castletownbere
2022-02-04,Grangecastle Business Park
2022-01-30,Grangecastle Business Park
2022-01-27,Grangecastle Business Park
2022-01-25,Keady
2022-01-23,Tory Island
2022-01-09,Enniskillen
2022-01-06,Grangecastle Business Park
2022-01-04,Castletownbere
2022-01-02,Grangecastle Business Park
2021-12-31,Grangecastle Business Park
2021-12-30,Whiting Bay
2021-12-26,Keady
2021-12-21,Keady
2021-12-18,Keady
2021-12-10,Grange Castle Business Park
2021-12-09,Keady
2021-12-07,Tory Island
2021-12-02,Keady
2021-11-28,Enniskillen
2021-11-21,Keady
2021-11-10,Keady
2021-11-07,Grangecastle Business Park
2021-11-05,Grangecastle Business Park
2021-10-29,Grangecastle Business Park
2021-10-26,Killybegs
2021-10-25,Dingle Peninsula
2021-10-23,Grangecastle Business Park
2021-10-22,Duncannon
2021-10-21,Grangecastle Business Park
2021-10-18,Louisburgh
2021-10-15,Grangecastle Business Park
2021-10-13,Grangecastle Business Park
2021-10-11,Enniskillen
2021-10-08,Whiting Bay
2021-10-04,Tory Island
2021-10-02,Garryvoe
2021-10-02,Narin
2021-10-01,Killybegs
2021-09-30,Keady
2021-09-28,Roonagh
2021-09-27,Belmullet Peninsula
2021-09-27,Belmullet Peninsula
2021-09-26,Long Rock
2021-09-25,Dawros Head
2021-09-24,Enniskillen
2021-09-24,Skerries
2021-09-17,Fenit
2021-09-17,Easky
2021-09-16,Lenadoon
2021-09-16,Duncannon
2021-09-14,Duncannon.
2021-09-13,Crookhaven
2021-09-11,Duncannon
2021-09-10,Duncannon
2021-09-09,Belmullet Peninsula
2021-09-02,Enniskillen
2021-08-31,Duncannon
2021-08-29,Fenit
2021-08-29,Duncannon.
2021-08-28,Killybegs
2021-08-28,Beara Peninsula.
2021-08-27,Enniskillen
2021-08-25,Killybegs
2021-08-23,Carne
2021-08-22,Duncannon
2021-08-21,Belmullet Peninsula
2021-08-20,Tory Island
2021-08-20,Duncannon.
2021-08-20,Skerries
2021-08-19,Gormanston
2021-08-18,Duncannon
2021-08-18,Darkley Lough
2021-08-18,Darkley Lough
2021-08-17,Rush
2021-08-17,Lough Athalia
2021-08-17,Killybegs
2021-08-16,Tuosist
2021-08-15,Castletownbere
2021-08-14,Tacumshin
2021-08-14,Lough Swilly
2021-08-14,Cork Harbour
2021-08-13,Belmullet Peninsula
2021-08-13,Tory Island
2021-08-13,Crookhaven
2021-08-13,Killybegs
2021-08-10,Derrynane
2021-08-07,Cashen
2021-08-07,Killybegs
2021-08-06,Killybegs
2021-08-06,Castletownbere
2021-08-05,Carnsore Point
2021-08-02,Raheenleagh
2021-08-01,Schull
2021-07-30,Crookhaven
2021-07-29,Cork City
2021-07-27,Cork City
2021-07-27,Crookhaven
2021-07-27,Dingle Peninsula
2021-07-24,Killybegs
2021-07-23,Sherkin Island
2021-07-22,Ballycotton
2021-07-20,Cork City
2021-07-18,Dingle Peninsula
2021-07-13,Portmagee
2021-07-12,Waterville
2021-07-12,Derrynane East
2021-07-12,Cork City
2021-07-12,Helvick Head
2021-07-08,Baltimore
2021-07-08,Schull
2021-07-04,Crookhaven
2021-07-02,Schull
2021-06-30,Schull
2021-06-28,Castletownbere
2021-06-25,Cromane
2021-06-19,Crookhaven
2021-06-18,Timoleague
2021-05-31,Crookhaven
2021-05-29,Cork City
2021-05-28,Castletownbere
2021-05-15,Cork City
2021-05-06,Crookhaven
2021-03-30,Killybegs
2021-03-28,Killybegs
2021-02-05,Crookhaven
2021-01-14,Enniskillen
2021-01-03,Castletownbere
2021-01-01,Crookhaven
2020-12-29,Castletownbere
2020-12-29,Dingle Peninsula
2020-12-29,Belmullet Peninsula
2020-12-28,Dingle Peninsula
2020-12-27,Killybegs
2020-12-27,Enniskillen
2020-12-19,Ballycotton
2020-12-12,Enniskillen
2020-12-10,Killybegs
2020-12-05,Belmullet Peninsula
2020-12-05,Dingle Peninsula
2020-11-29,Corbally Dam
2020-11-26,Enniskillen
2020-11-25,Easky
2020-11-21,Portrush
2020-11-20,Dingle Peninsula
