sighting_date,location
2015-06-28,Belmulet Peninsula
2015-06-27,Derrybeg
2015-06-21,Lenadoon Point
2015-06-05,Lenadoon Point
2015-06-03,Courtown
2015-05-31,Tory Island
2015-04-23,"Carnsore Pt,"
2015-04-18,White Hole
2015-04-17,Carnsore Point
2015-04-16,Carnsore Point
2015-04-14,Tacumshin
2015-04-11,Carnsore Point
2015-03-23,Tacumshin
2015-03-22,Mutton Island
2015-03-20,Tacumshin
2015-03-17,Malin Head
2015-03-14,Tacumshin
2015-03-05,Achill Island
2015-02-28,Nimmo's Pier
2015-02-28,Malin Head
2015-02-28,Tacumshin
2015-02-22,Achill Island
2015-02-22,Malin Head
2015-02-21,Tacumshin
2015-02-20,Carrahane
2015-02-20,Tacumshin
2015-02-19,Tacumshin
2015-02-15,Tacumshin
2015-02-14,Carnsore Point
2015-01-31,Tacumshin
2015-01-18,Tacumshin
2015-01-18,Carnsore Point
2015-01-18,Killybegs
2015-01-18,Carnsore Point
2015-01-17,Lough Swilly
2015-01-11,Tacumshin
2015-01-11,Tramore
2015-01-10,Carrickadda Point
2015-01-10,Tacumshin
2015-01-10,Carnsore Point
2015-01-06,Cromane
2015-01-06,Carne Harbour
2015-01-03,Carnsore Point
2015-01-01,Killybegs
2014-12-30,Rossbeigh Beach
2014-12-27,Fanad Peninsula
2014-12-21,Carnsore Point
2014-12-20,Bray
2014-12-19,Fanad Head
2014-12-15,Ballynaclash
2014-12-13,Cahirciveen
2014-12-13,Blanket Nook
2014-12-09,Lough Swilly
2014-12-07,Fanad Head
2014-11-29,Carne Harbour
2014-11-14,Raghley
2014-10-26,Cromane
2014-10-17,Portavogie
2014-10-01,Achill Island
2014-09-30,Carnsore Point
2014-09-28,Ballycotton
2014-09-18,Rossbeigh
2014-09-17,Crookhaven
2014-09-14,Rossbeigh
2014-09-14,Black Rock
2014-09-12,Crookhaven
2014-09-11,Lough Swilly
2014-09-08,Rossbeigh Strand
2014-09-06,Castlegregory
2014-09-05,Tacumshin
2014-09-02,Killybegs
2014-08-30,Carne
2014-08-29,Carnsore Point
2014-08-14,Kilmore Quay
2014-08-09,Raghly
2014-08-07,Killybegs
2014-08-01,Tacumshin
2014-07-27,Blanket Nook
2014-07-23,Baltimore
2014-06-24,Rossbeigh
2014-06-10,Dun Laoghaire
2014-06-09,Blanket Nook
2014-06-05,Castletownbere
2014-05-25,Kilmore Quay
2014-05-08,Cromane
2014-05-02,Lough Swilly
2014-04-23,Belmullet Peninsula
2014-04-13,Baltimore
2014-04-13,Carne Pier
2014-04-11,Lady's Island Lake
2014-04-05,Lough Swilly
2014-03-30,Dalkey
2014-03-30,Castletownbere
2014-03-15,Lough Swilly
2014-03-05,Lough Neagh
2014-03-02,Ardglass
2014-02-23,Easky
2014-02-15,Castletownbere
2014-02-11,Cromane
2014-02-10,Belmullet Peninsual
2014-02-10,Black Rock
2014-02-09,Cromane
2014-02-02,Cromane
2014-02-02,Clogher Head
2014-01-31,Carnsore Point
2014-01-27,Carnsore Point
2014-01-26,Carnsore Point
2014-01-25,Carnsore Point
2014-01-25,White Hole
2014-01-24,Hazelbank / Whitehouse Lagoon
2014-01-24,Malin Head
2014-01-24,Malin Head
2014-01-23,Castletownbere
2014-01-22,Bantry
2014-01-22,Malin Head
2014-01-22,Bantry
2014-01-21,Bantry Bay
2014-01-21,Cromane
2014-01-20,Cromane
2014-01-19,Lower Rosses
2014-01-19,Kildavin
2014-01-18,Enniskillen
2014-01-18,Belmullet peninsula
2014-01-17,Enniskillen
2014-01-17,Owenahincha
2014-01-12,Inishcrone
2014-01-11,Cleggan
2014-01-05,Union Hall
2013-12-18,Belmullet Peninsula
2013-12-13,Baltimore
2013-12-13,Cape Clear Island
2013-12-08,Cape Clear Island
2013-12-01,Cape Clear Island
2013-11-23,Courtmacsherry
2013-11-17,Carnsore
2013-11-11,Lurgangreen
2013-10-29,Belmullet
2013-10-20,Tiimoleague
2013-10-18,Timoleague
2013-10-13,Great Saltee Island
2013-10-12,Baltimore
2013-10-07,Killybegs
2013-10-05,Quilty
2013-10-03,Ballinskelligs
2013-09-27,Timoleague
2013-09-22,Carnsore Point
2013-09-11,Black Rock
2013-09-11,Skibbereen
2013-09-10,Cahermore
2013-09-05,Eyeries
2013-08-28,Tacumshin
2013-08-10,Western Approaches
2013-08-02,Tory Island
2013-07-25,Killybegs
2013-07-25,Beara Peninsula
2013-07-20,Beara Peninsula
2013-07-13,Nwcastle
2013-06-17,Belmullet Peninsula
2013-05-31,Carnsore Point
2013-05-29,Carne
2013-05-25,Bray
2013-05-25,Tacumshin
2013-05-16,Ballinskelligs
2013-05-15,Black Rock
2013-04-18,Killybegs
2013-04-07,Timoleague
2013-04-04,Dingle Peninsula
2013-04-02,Clogher Head
2013-03-30,Cromane
2013-03-28,Clogher Head
2013-03-25,Beara Peninsula
2013-03-18,Clogher Head
2013-03-08,Carnsore Point
2013-03-01,Cromane
2013-02-24,Ballinard
2013-02-24,Clogher Head
2013-02-22,Derrybeg
2013-02-17,Black Rock
2013-02-14,Clogher Head
2013-02-13,West Beara
2013-02-08,Carnsore Point
2013-02-02,Ballinskelligs
2013-02-02,Carnsore Pt.
2013-02-02,Courtown
2013-01-28,Cruisetown Strand
2013-01-22,Clogher Head
2013-01-13,Nimmo's Pier
2013-01-12,Black Rock
2013-01-11,Dingle Peninsula
2013-01-06,Dingle Peninsula
2013-01-06,Hook Peninsula
2013-01-06,Cork Harbour
2013-01-05,Nimmo's Pier
2012-12-23,Ballinard
2012-12-15,Clogher Head
2012-12-09,Cromane
2012-12-02,Hook Peninsula
2012-11-25,Timoleague
2012-11-24,Killybegs
2012-11-17,Ballagan Point
2012-11-08,Helvick Head
2012-10-26,Whiting Bay
2012-10-25,Kenmare
2012-10-13,Castletownbere
2012-10-11,Ballyteigue Bay
2012-10-11,Clogher Head
2012-09-30,Youghal
2012-09-30,Carnsore Point
2012-09-30,Killybegs
2012-09-30,Kilkee
2012-09-29,Enniskillen
2012-09-29,Nimmo's Pier
2012-09-23,Raghly
2012-09-22,Courtown
2012-09-19,"Courtown Hbr,"
2012-09-17,Clogher Head
2012-09-14,Arklow Harbour
2012-09-14,Ballyconnell
2012-09-11,Kenmare
2012-09-09,Cahermore
2012-09-09,Dingle Peninsula
2012-09-09,Clogher Head
2012-09-08,Courtown
2012-09-01,Cahermore
2012-08-31,Roches Point
2012-08-31,Achill Island
2012-08-26,Clogher Head
2012-08-26,Achill Island
2012-08-26,Carnsore Point
2012-08-23,Malin Head
2012-08-20,Whiting Bay
2012-08-18,Ferry Point
2012-08-18,Clogher Head
2012-08-13,Achill Island
2012-08-13,Courtown
2012-08-12,Carnsore Point
2012-08-12,Glenbeigh
2012-08-11,Clogher Head
2012-08-11,Ballyconneely Bay
2012-08-04,Murvey Beach
2012-07-14,Gurteen Bay
2012-07-11,Malin Head
2012-07-10,Adrigole
2012-07-10,Cahermoore
2012-07-10,Ballynahown
2012-07-09,Belmullet Peninsula
2012-07-09,Clogher Head
2012-06-25,Arranmore
2012-06-20,Hook Peninsula
2012-06-19,Youghal
2012-06-04,"Thomond Weir, Limerick City"
2012-05-29,Clogher Head
2012-05-17,Rosslare back strand
2012-04-15,Kylmore Quay
2012-03-18,Carnsore Pt
2012-02-18,Beara Peninsula
2012-02-10,Raghly
2012-02-05,Killybegs
2012-01-28,Great Island
2012-01-28,Belmullet Peninsula
2012-01-27,Portrush
2012-01-14,Malin Head
2011-12-29,Achill Island
2011-12-28,Nimmo's Pier
2011-12-27,Belmullet Peninsula
2011-12-22,Ferry Point
2011-12-19,Belmullet Peninsula
2011-12-03,Carnsore Point
2011-10-30,Carndonagh
2011-10-30,Carnsore Point
2011-10-25,Clogher Head
2011-10-09,Dingle Peninsula
2011-10-01,Lehid Harbour
2011-09-30,Kilmore Quay
2011-09-25,Rosslare backstrand
2011-09-25,Nimmo's Pier
2011-09-01,"River Shannon, Limerick City"
2011-08-23,Killybegs
2011-08-19,Dingle Peninsula
2011-08-11,Clogher Head
2011-08-08,Cruisetown Beach
2011-08-06,Rostoonstown Burrow
2011-08-06,Rosslare
2011-08-04,Killybegs
2011-08-04,Courtmacsherry
2011-07-24,Ballinglanna
2011-07-12,Rosslare back strand
2011-06-29,Courtmacsherry
2011-05-30,Ballycotton
2011-05-18,Cromane
2011-05-18,Gurteen
2011-04-30,Timoleague
2011-04-22,Clogher Head
2011-03-27,Ballyconneely
2011-03-05,Gorteen Bay
2011-03-03,Belmullet Peninsula
2011-03-01,Belmullet Peninsula
2011-02-26,Ballycotton
2011-02-23,Portrush
2011-02-20,Cromane
2011-02-16,Rosslare
2011-02-13,Clogher Head
2011-02-12,Beara Peninsula
2011-01-31,Clogher Head
2011-01-22,Cromane
2011-01-08,Kilmore Quay
2011-01-07,Bantry
2011-01-03,Coolsiva Quay
2010-12-30,Cromane
2010-12-28,Enniscrone
2010-12-12,Nimmo's Pier
2010-11-26,Easkey
2010-11-13,Black Rock
2010-11-10,Easkey
2010-10-31,Courtown Harbour
2010-10-31,Cromane
2010-10-17,Courtown
2010-10-16,Baltimore
2010-09-30,Ballycotton
2010-09-26,Kilmore Quay
2010-09-25,Courtown Harbour
2010-09-24,Kilmore Quay.
2010-09-18,Ballycotton
2010-09-18,"Thomond Weir, Limerick City"
2010-09-16,Enniscrone
2010-09-06,Bray
2010-09-03,Clogher Head
2010-08-28,Nimmo's Pier
2010-08-27,Youghal
2010-08-21,Portavogie
2010-08-15,Courtown Hbr.
2010-08-14,Achill Island
2010-08-14,Ballynamona
2010-08-13,Cahermore
2010-08-08,Ballydonegan
2010-08-07,Garinish
2010-08-03,Castletownbere
2010-08-01,Courtown
2010-07-24,Ferry Point
2010-07-24,Inishbofin
2010-07-21,Belmullet Peninsula
2010-07-20,Cahermore
2010-07-19,Belmullet Peninsula
2010-07-19,Newcastle
2010-07-17,Clogher Head
2010-07-08,Limerick City
2010-05-13,Tacumshin
2010-03-27,Wexford Harbour
2010-03-23,Achill Island
2010-03-20,Wexford Harbour
2010-02-28,Baltimore
2010-02-27,Killybegs
2010-02-23,Clogher Head
2010-02-13,Nimmo's Pier
2010-01-22,Nimmo's Pier
2010-01-16,Baltimore
2010-01-13,Gyles' Quay
2009-12-31,Clogher Head
2009-12-30,Crookhaven
2009-12-29,Portrush
2009-12-29,Clogher Head
2009-12-28,Nimmo's Pier
2009-12-15,"Arthur's Quay, Limerick City"
2009-12-06,Baltimore
2009-12-01,Inch / Anascaul
2009-11-29,Kilmore Quay
2009-11-26,Dun Laoghaire
2009-11-15,Clogher Head
2009-11-14,Adrigole Harbour
2009-11-13,Belmullet Peninsula
2009-11-12,Kilcummin Head
2009-11-01,Dingle Peninsula
2009-10-31,Dingle Peninsula
2009-10-29,Dingle Peninsula
2009-10-25,Dingle Peninsula
2009-10-19,Barley Cove
2009-10-11,Dingle Peninsula
2009-10-04,Youghal
2009-10-04,Kilmore Quay
2009-10-04,Belmullet
2009-10-04,Annagh Head
2009-10-03,Youghal
2009-10-02,Kilmore Quay
2009-10-01,Nimmo's Pier
2009-09-30,Killybegs
2009-09-30,Kilmore Quay
2009-09-28,Union Hall
2009-09-27,Bray
2009-09-26,Ballinskelligs
2009-09-19,Kilmore Quay
2009-09-19,Kilmore Quay
2009-09-18,Kilcoole
2009-09-12,Balbriggan
2009-09-05,Killala Bay
2009-08-23,Gibraltar Point
2009-08-22,Malin Head
2009-08-03,Youghal
2009-07-29,Killybegs
2009-07-25,Youghal
2009-07-19,Lough Gara
2009-07-18,Cahersiveen
2009-07-14,Port Oriel
2009-07-12,Killybegs
2009-07-11,Skerries.
2009-07-11,Donegal Bay
2009-07-05,Derry City
2009-07-05,Dunmore East Harbour
2009-07-04,Kilcoole
2009-07-01,Killybegs
2009-06-14,Tralee
2009-05-16,Lacken Pier
2009-04-23,Lough Swilly
2009-04-01,Kilcoole
2009-03-20,Dalkey
2009-02-21,Helvick Head
2009-02-14,Helvick Head
2009-02-14,Ballybunion
2009-02-03,Broad Lough
2009-02-01,Tory Island
2009-01-31,Tory Island
2009-01-30,Lough Swilly
2009-01-27,Belfast Lough
2009-01-27,Cork City
2009-01-26,Cork City
2009-01-25,Whitehouse Lagoon
2009-01-25,Helvick Head
2009-01-24,Killala
2009-01-24,Killybegs
2009-01-23,Killybegs
2009-01-23,Ballycotton Bay
2009-01-04,Kinnegar
2009-01-03,Killybegs
2008-12-30,Crookhaven
2008-12-28,Crookhaven
2008-12-24,Crookhaven
2008-12-11,Rossbeigh
2008-12-07,Portmagee
2008-11-24,Killybegs
2008-11-21,Ballycastle
2008-11-16,Dingle
2008-10-30,Killybegs
2008-10-20,Rossaveal
2008-10-04,Ballinwilling
2008-10-02,Ballycrenane
2008-09-12,Baltimore
2008-09-11,Roscarbery
2008-09-09,Ballinskelligs
2008-09-04,Killybegs
2008-07-25,Cahermore
2008-06-29,Ballycastle
2008-06-24,Kilcoole
2008-06-22,Ballinskelligs
2008-06-19,Killybegs
2008-06-17,Killybegs
2008-06-14,Crookhaven
2008-06-11,Ballymacoda
2008-05-23,Killybegs
2008-05-22,Crookhaven
2008-03-28,Cromane
2007-11-10,Baltimore
2007-11-10,Aughris Pier
